First Author Last Name,Year of Publication,DOI,Main Focus of the Research,Key Findings,Photovoltaic Cell Technology,Efficiency (%),Short-Circuit Current (A),Short-Circuit Current Density (mA/cm²),Open-Circuit Voltage (V),Fill Factor (%),Absorber Material,Front Surface Morphology,Rear Surface Morphology,Front Surface Passivation,Rear Surface Passivation,Negative Polarity Contact Type,Positive Polarity Contact Type,Negative Polarity Metallization,Positive Polarity Metallization
Duan,2021.0,https://doi.org/10.1002/pip.3493,A route towards high-efficiency silicon heterojunction solar cells,"Demonstrated a route to high-efficiency SHJ solar cells by using a denser and thinner second part of the intrinsic a-Si:H layer, which reduced vertical rear resistance loss and led to a higher fill factor. Introduction of a MgF2/Ag back reflector further improved efficiency. A newly certified efficiency was reported.",Silicon heterojunction (SHJ) solar cells,24.51,9.663,39.52 (calculated from 244.5 cm2),0.7418,83.61,n-type c-Si,Textured,Textured,a-Si:H,a-Si:H,Heterojunction,Heterojunction,Ag,Ag
Firat,2022.0,https://doi.org/10.1016/j.solmat.2021.111544,Using LPCVD to incorperate in situ phosphorus doped polycrystalline silicon films to simplify production. ,Experienced low recomination current densities and low contact resistivity. Having a flat and polished rear surface increased the efficiency with the methodology of which they were using. ,n-TOPCon solar cells with poly-Si passivating contacts,"Single ARC - 22.4 ± 0.1
Double ARC - 22.6 ± 0.1
Double ARC (calibrated) - 23.01",,"Single ARC - 40.3 ± 0.1
Double ARC - 40.8 ± 0.1
Double ARC (calibrated) - 40.95","Single ARC - 0.6905 ± 0.0003
Double ARC - 0.6906 ± 0.0005
Double ARC (calibrated) - 0.6917","Single ARC - 80.3 ± 0.1
Double ARC - 80.1 ± 0.2	
Double ARC (calibrated) - 81.25 ",Si (n-type),Textured,Planar,AlOx/SiNx:H,Polycrystalline Si,Homojunction,Honojunction,Ag,Ag/Al
,,,,,,,,,,,,,,,,,,,
Feldmann,2017.0,,Discusses the TOPCon technology in large scale fabrication. ,Larger solar cells and cells plated in NiCu were tested and found that there were some losses associated with the research. ,TOPCon,22.9,,40.8,0.694,81,n-Si,Textured,Planar,B-doped emitter,TOPCOn,Heterojunction,Heterojunction,,
Feldmann,2014.0,http://dx.doi.org/10.1016/j.solmat.2014.06.015,The paper explores n-type and p-type silicon substrates. They focus on boron-doped TOPCon (p-TOPCon) as the superior solution to challenges that arise within p-type PRC cells,The n-type TOPCon cells had achieved high effeciency. It suggests effeiceint carrier transport and minimal recombination losses.,TOPCon,"Gen1 - 21.8
Gen2 - 23
Gen3 - 24
Gen4 - 24.4",,"Gen1 - 38.4
Gen2 - 40.6
Gen3 - 41.4
Gen4 - 41.5","Gen1 - 0.6908
Gen2 - 0.6981
Gen3 - 0.7032
Gen4 - 0.7151","Gen1 - 82.1
Gen2 - 81.1
Gen3 - 82.5
Gen4 - 82.1",Si,Textured,Planar,Si,Si,Heterojunction,Heterojunction,ITO,ITO
Feldmann,2016.0,10.1016/j.solmat.2016.09.015,"The application of polyN/ASi/SiOx contacts as passivated top/rear contacts
The application of polyN/ASi/SiOx contacts as passivated top/rearcontacts in Si Solar Cells","The upper bound for the parasitic absorption losses in 10ñ40 nm thick polyN/ASi films was quantified to be about 0.5mA/cm2 per 10nm polyN/ASi layer thickness.
The upper bound for the parasitic absorption losses in 10ñ40 nm thick polyN/ASi films was quantified to be about 0.5mA/cm2 per 10 nm polyN/ASi layer thickness",TOPCon,25.1,,,,81,cN/ASi(p),Textured,Planar,ITO/AZO/PolyN/ASi/SiOx,SiOx/PolySi,Heterojunction,Heterojunction,Al/ITO,Ag
Fischer,2015.0,10.1016/j.egypro.2015.06.142,Model based continuous improvement of industrial pN/Atype PERC technology beyond 21% efficiency through device simulations.,"Device simulations predict that PERC technology can reach 22.5% efficiency through continuous improvements in front side metallization, emitter diffusion, passivation, and rear contact formation, with a roadmap outlining steps towards this goal. A best cell efficiency of 21.51% was achieved.",PERC,21.51,,,0.671,80.9,pN/Atype Si,Textured,,,,Homojunction (emitter),Homojunction (BSF),Ag,Al
Feldmann,2017.0,https://doi.org/10.1016/j.solmat.2016.09.015,,,,19.2,,33.38,0.709,81.15,Monocrystalline,Planar - With Coating(s),Planar - With Coating(s),,,,,Ag,Ti/Pd/Ag
Gao,2019.0,https://doi.org/10.1016/j.solmat.2019.109926,Industrial viable TOPCon with PECVD SiOx/n+-poly-Si,High-quality passivation and low contact resistance achieved. Simulation showed 22.8% efficiency.,TOPCon solar cells,22.8,0.455,39.63,0.742,82.42,p-type Cz-Si,Textured,Planar,Al2O3/SiOx,"SiOx, n+-poly-Si",Homojunction,Homojunction,Al,Al
Glunz,2021.0, https://doi.org/10.1002/pip.3522,"Overview of the historical development of TOPCon cells. Four criteria are presented to evaluate the cells on, and see the developments of. ","Four topics were 1) superior passivation quality made it necessary to re-parametrize intrinsic recombination, 2) control of diffusion dopants is essential to optimize passivation and transport properties, 3) single-sided deposition would reduce process complexity, 4) silicon-based tunnel junctions can be fabricated using TOPCon technology",TOPCon rear junction cells,"Front Junction - 25.8
Rear Junction - 26.0",,"Front Junction - 42.87
Rear Junction - 42.05","Front Junction - 0.7241
Rear Junction - 0.7323","Front Junction - 83.1
Rear Junction - 84.3",p-type Si,planar,planar,SiOx,n-type TOPCon (poly-Si/SiOx),Modified Homojunction,Modified Homojunction,Ti/Pd/Ag,Ti/Pd/Ag
Guo,2023.0,https://doi.org/10.1016/j.solener.2023.04.065,"Impact of silicon substrate surface finish (alkali texturing, acid polishing, alkali polishing) on solar cell precursor passivation and final battery electrical properties.",Acid-polished surfaces can better balance metal contact and surface passivation for higher efficiency with current silver paste. Alkali polishing shows better precursor passivation but poor metal contact leading to significant losses.,TOPCon solar cell ,"Textured - 23.87
Acid Polish - 24.05
Alkali Polish - 23.72",,"Textured - 40.77
Acid Polish - 41.05
Alkali Polish - 41.32","Textured - 0.701
Acid Polish - 0.706
Alkali Polish - 0.710","Textured - 83.52
Acid Polish - 82.99
Alkali Polish - 80.86",Si,Textured,Planar,SiOx,SiOx,Heterojunction,Heterojunction,Ag,Ag
Hariharasudhan,2022.0,10.1016/j.enconman.2022.116223,Comparative analysis of polycrystalline and bifacial photovoltaic module under various partial shading conditions.,Bifacial PV modules exhibit superior performance under frontN/Aside partial shading compared to polycrystalline modules. RearN/Aside partial shading significantly reduces the performance of bifacial modules. Combined shading on both sides diminishes the bifacial module's advantage over polycrystalline modules.,Polycrystalline and Bifacial,23,9.12,36.58,,,Polycrystalline Si;†N/A,Textured,Open metallization grid; separate layer,,,,,"Ag, Al",Ag
Haschke,2018.0,10.1016/j.solmat.2018.07.018,"Review of recent technological developments and practical aspects of silicon heterojunction solar cells, from lab to industry, focusing on fill factor.","Recent progress in SHJ solar cells has led to efficiencies exceeding 26% with high fill factors. Minimizing recombination in the absorber and at surfaces is crucial for high FF. SHJ technology is intrinsically bifacial with a low temperature coefficient, offering high energy production.",Silicon Heterojunction,26.7,,,,84.9,nN/Atype silicon,,,aN/ASi:H,aN/ASi:H,Heterojunction,Heterojunction,TCO/Metal,TCO/Metal
Jia,2021.0,10.1016/j.solmat.2021.111112,"Life cycle assessment on PERC solar modules with different wafer sizes, encapsulation, and ground conditions, including recycling.",Bifacial PERC modules have a lower environmental impact than monofacial modules due to increased energy yield. Larger wafer sizes generally lead to lower environmental impacts per kWh. Recycling of PV modules significantly reduces their overall environmental footprint. TPO waterproof membranes and white gravel are good choices for ground reflection for bifacial modules.,PERC,22.5,,,,,monoN/Afacial Si;†biN/Afacial Si,,,,,,,,
Jiabin Huang,2023.0,https://doi.org/10.1016/j.solmat.2023.112489,,,,25.06,,41.43,0.7132,84.55,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,,
Jiahui Xu,2022.0,https://doi.org/10.1016/j.solmat.2022.111606,,,,23.79,,41.51,0.7,81.86,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,,
Kafle,2021.0,https://doi.org/10.1016/j.solmat.2021.111100,Focused on strategies for improving cost efficiency for making TOPCon cells.,TOPCon cells are the best option in terms of efficiency as compared to PERC cells. The biggest cost in making TOPCon cells comes from the diffusion and metallization steps. ,TOPCon cells,24.4,,41.5,0.7151,82.1,Si,Textured,Planar,SiOx/AlOx/a-SiNx,a-SiNx,Homojunction,Homojuction,Ag/Al,Ag
Katsaounis,2017.0,10.1016/j.solener.2017.09.023,2D simulation and performance evaluation of bifacial rear local contact PERC cN/ASi solar cells under variable illumination.,"Bifacial PERC structures can achieve significant power gains compared to monofacial equivalents, especially under high back illumination intensity. Optimized back contact geometry and base material parameters influence device performance. Highly diffused irradiance conditions are favorable for bifacial devices.",Bifacial PERC,21.776,,36.995,0.664,83.106,pN/Atype Si,,StripeN/Ashaped,SiO2/SiN,SiO2/SiN,Homojunction (emitter),Homojunction,Ag,AlN/ABSF
Kobayashi,2017.0,10.1016/j.solmat.2017.06.023,Increasing the efficiency of silicon heterojunction solar cells and modules by,,Silicon Heterojunction,20.9,,36.6,0.734,79.2,,Textured,Planar,SiNx/Al2O3,SiO2 (annealed),Heterojunction,Homojunction,TCO/Metal,
Kumari,2024.0,10.1038/s41598N/A024N/A72502N/Az,Performance analysis of partially shaded highN/Aefficiency mono PERC/mono crystalline PV module under indoor and environmental conditions.,Single cell shading (40N/A60%) in highN/Aefficiency monocrystalline PERC PV modules leads to a significant drop in power output and potential hotspot development under both indoor and outdoor conditions. Outdoor experiments recorded hotspot temperatures of 85N/A90.1 ∞C.,Mono PERC,19.57,9.9,48,0.47,77.82,monocrystalline Si,Textured,,,,,,,
Kumm,2015.0,10.1016/j.egypro.2015.06.047,"Development of longN/Aterm and annealing stable, solderable PVD metallization for PERC and other silicon solar cell concepts.","A solderable PVD metallization scheme (TiN/Ti/Ag or TiN/NiV/Ag on evaporated Al) with an optimized Al diffusion barrier (TiN) enables conventional soldering after annealing, without influencing cell efficiency. LongN/Aterm stability of solder joints was investigated.",PERC,,,,,,nN/Atype Cz Si,,,TiN/Al,,,,Ag,Al
Li,2024.0,10.1038/s41586-023-06948-y,Flexible silicon solar cells with high power-to-weight ratios,"Achieved high power conversion efficiency in flexible silicon heterojunction solar cells by using low-damage continuous-plasma chemical vapour deposition, self-restoring nanocrystalline sowing, and contact-free laser transfer printing. The 57-μm thin cell showed the highest power-to-weight ratio (1.9 W g−1) and open-circuit voltage (761 mV).",Silicon Heterojunction (SHJ),"26.81 (for 125 μm cell), 26.06 (for 57 μm cell)",Not reported,Not reported,0.761 (for 57 μm cell),Not reported,n-type Czochralski c-Si,Textured,Textured,a-Si:H,a-Si:H,Heterojunction,Heterojunction,Ag,Ag
Li,2025.0,10.1016/j.solmat.2025.113422,ITO-less silicon heterojunction solar cells based on nanocrystalline silicon carrier collectors,"Developed ITO-less silicon heterojunction solar cells by investigating the impact of ITO thinning and using n-nc-Si:H substrates with high crystallinity to reduce contact resistance. A champion PCE was achieved by applying a seed layer and optimizing the n-nc-Si:H layer thickness, followed by a LiFx anti-reflection coating to compensate for optical losses.",Silicon Heterojunction (SHJ),Enhanced for ITO-less cell,Not reported,Not reported,Not reported,Not reported,Not explicitly stated,Textured,Textured,a-Si:H,a-Si:H or nanocrystalline silicon,Heterojunction,Heterojunction,Nanocrystalline silicon,Nanocrystalline silicon
Li,2023.0,https://doi.org/10.1016/j.solmat.2023.112585,Optimization of efficiency enhancement of TOPCon cells,Determining appropriate range of sheet resistance for light-doped region and diffusion junction depth of the heavy-doped region for an overall 0.3% increase in efficiency,TOPCon solar cells,25.51,13.86,41.83,0.727,84.04,n-type Cz-Si,Textured,Textured,Al2O3/SiNx-SiOx,SiOx/n+poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag/Al
Lin,2023.0,https://doi.org/10.1038/s41560-023-01255-2,High-efficiency SHJ solar cells with electrically optimized nanocrystalline-silicon hole contact layers,Highest initial average efficiency of 18.1% achieved in fabricated cells,Silicon heterojunction (SHJ) solar cells,18.1 (average),Not specified,36.9 (average),0.721 (average),67.8 (average),n-type Czo-chralski monocrystalline silicon (Si),Textured,Textured (implied),Not explicitly detailed,Not explicitly detailed,Heterojunction,Heterojunction,Al,Al
Lin,2023.0,Not stated,Investigation of p-a-Si:H and p-nc-Si:H rear emitters in high-efficiency SHJ solar cells,26.74% efficiency achieved with specific cell design and passivation techniques,Silicon heterojunction (SHJ) solar cells,26.74,~11.295,~41.16,0.7511,86.48,n-Si,Not explicitly stated,Not explicitly stated,i-a-Si:H,i-a-Si:H,Heterojunction,Heterojunction,Ag,Ag
Liu,2025.0,10.1016/j.solmat.2025.113412,Silver reduction through direct wire bonding for Silicon Heterojunction solar cells,"Demonstrated the connection of low-cost Cu wires on SHJ solar cells using conductive paste in discrete pads to replace traditional metallization and interconnection. Achieved module efficiency higher than traditional interconnection schemes with comparable paste consumption to 0BB solutions, offering superior cost savings by eliminating interconnect material.",Silicon Heterojunction (SHJ),Higher module efficiency compared to 6-wire and 3-ribbon interconnection,Not reported (module level),Not reported (module level),Not reported (module level),Not reported (module level),M2+ commercial metallization-free SHJ solar cells,Not reported,Not reported,Not reported,Not reported,Heterojunction,Heterojunction,Cu wires with Ag coated Cu paste,Cu wires with low-temperature solder
Lozac'h,2020.0,https://doi.org/10.1016/j.solmat.2019.110357,Double-sided TOPCon with ALD SiOx,Best efficiency of 18.8% achieved.,Bifacial TOPCon solar cells,18.8,0.975,39,0.638,78,n-type Cz-Si,Textured,Textured,Al2O3/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag
Lu,2022.0,https://doi.org/10.1109/JPHOTOV.2021.3138248,Screen-printable contacts for industrial N-TOPCon,Median bifacial solar cell efficiency of 22.21% from silver paste contacts,Bifacial TOPCon solar cells,22.28,10.09,41.46,0.674,79.73,n-type Cz-Si,Textured,Planar,Al2O3/SiNx:H,SiOx/n+poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag/Al
Lu,2021.0,https://doi.org/10.1109/PVSC43889.2021.9518477,Screen-printable conductor metallizations,Median solar cell efficiency of 22.19% and bIfaciality Eff factor of 82.3%,Bifacial TOPCon solar cells,22.27,10.11,41.58,0.676,79.73,n-type Cz-Si,Textured,Planar,Al2O3/SiNx:H,SiOx/n+poly-Si/SiNx:H,Homojunction,Homojunction,Ag,Ag/Al
Luo,2018.0,10.1002/pip.3028,"Elucidating potentialN/Ainduced degradation (PID) in bifacial PERC silicon photovoltaic modules, especially on the rear side.","Negatively biased bifacial pN/APERC modules show significant rearN/Aside degradation (PIDN/Ap) with losses in Pmpp, Isc, and Voc due to surface polarization. PID is more pronounced at low irradiance and can be mitigated by POE encapsulants or transparent backsheets and is fully recoverable by light.",Bifacial PERC,,,,,,pN/Atype monoN/ASi,Textured,Polished,EVA; POE,AlOx/SiNx,Heterojunction,Homojunction,Al,Al
M¸ller,2014.0,10.1109/JPHOTOV.2014.2367868,Resistive power loss analysis of PV modules made from halved 15.6 ◊ 15.6 cm2 silicon PERC solar cells.,"A significant cellN/AtoN/Amodule power loss of 8% was measured in a minimodule with fullN/Asize PERC cells. Using halved PERC solar cells reduced resistive power losses, resulting in a CTM factor of 1.0. An analytical model allows for module optimization.",PERC,20,9.34,,0.589,77.1,pN/Atype Cz Si,Textured,LineN/Ashaped contact,SiNx,AlOx/SiNx,Homojunction (emitter),Homojunction (BSF),Ag,Al
Ma,2024.0,https://doi.org/10.1016/j.solmat.2024.113002,"Comparing the radiation hardness of PERC and TOPCon cells, using p-type substrates. Aims to understand how radiation affects the performance of the two cell types to be used in space environments.","TOPCon cells demonstrates a better performance after radiation exposure, but at lower substrate doping concentrations. ",TOPCon and PERC cells,"PERC - 22.85
n-TOPCon - 23.14",,"PERC - 40.43
n-TOPCon - 39.95","PERC - 0.6885
n-TOPCon - 0.6988","PERC - 82.09
n-TOPCon - 82.89",both n- and p- Si,Both (but textured accoridng to simulations),Both (but textured accoridng to simulations),"PERC - SiNx:H
n-TOPCon - SiNx:H/AlOx:H","PERC - AlOx:H/SiNx:H
n-TOPCon - SiOx",Heterojunction,Heterojunction,,
Ma,2024.0,https://doi.org/10.1016/j.solmat.2024.112771,Bi-layer in-situ P-doped poly-Si by PECVD for TOPCon,"Blistering-free, best iVoc 736.8 mV, J0 11.1 fA/cm¬≤, œÑeff 1028 Œºs, œÅc 2.3 mŒ© cm¬≤.",TOPCon solar cells,23.84,13.45,40.62,0.715,82.34,c-Si,Textured,Planar,AlOx/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag
Mahmood,2023.0,10.1002/pip.3724,Susceptibility to polarization type potential induced degradation in commercial bifacial pN/APERC PV modules under different bias conditions.,"Bifacial pN/APERC modules exhibit PIDN/Ap under negative bias at the rear, leading to significant power degradation, particularly at low irradiance, with nearN/Acomplete light recovery. Positive bias at the front shows PIDN/Ap with FF loss.",Bifacial pN/APERC,,,,,,pN/Atype monoN/ASi,,,,AlOx/SiNx,Heterojunction,Heterojunction,Al,Al
Mazzarella,2018.0,10.1016/j.solmat.2018.01.034,Development of ultraN/Athin nanocrystalline nN/Atype silicon oxide front contact layers for rearN/Aemitter silicon heterojunction solar cells.,"UltraN/Athin (n)ncN/ASiOx:H front contacts in rearN/Aemitter SHJ solar cells achieve excellent electrical parameters with thicknesses down to 5 nm, enhancing transparency and maximizing JSC. A best cell efficiency of 22.6% was achieved.",Silicon Heterojunction,22.6,,38.3,0.731,80.6,nN/Atype CZ Si,Textured,,aN/ASi:H,,Heterojunction,Heterojunction,ITO/Metal,ITO/Metal (Ag)
Meric Firat,2022.0,https://doi.org/10.1016/j.solmat.2021.111544,,,,22.4,,39.7,0.6937,81.1,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,Ag,Ag/Al
Mickael Lozac'h,2020.0,https://doi.org/10.1002/pip.3304,,,,18.8,,38.7,0.622,78,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,Ag,Ag
Mickael Lozac'h,2020.0,https://doi.org/10.1016/j.solmat.2019.110357,,,,19.1,,39.24,0.624,79,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,Ag,Ag
Min,2017.0,10.1109/JPHOTOV.2017.2749007,A roadmap toward 24% efficient PERC solar cells in industrial mass production through incremental improvements and device simulations.,"Device simulations predict that PERC cell efficiency can reach 24% in mass production through incremental improvements in emitter, BSF, bulk material, and metallization technologies, with a detailed pathway and target requirements provided.",PERC,20.5,,42.1,,85,pN/Atype Cz Si,Textured,Polished,SiO2/SiNx,Al2O3/SiNx,Homojunction (emitter),Homojunction (BSF),Ag,Al
Muhammad Quddamah Khokhar,2021.0,https://doi.org/10.1016/j.infrared.2021.103723,,,,27.49,,43.5,0.7615,83,Monocrystalline,Planar - With Coating(s),Planar - With Coating(s),,,,,Ag,Ag
Munoz-Garcia,2024.0,10.1016/j.optlastec.2024.110838,LIFT metallization as an alternative to screen-printing for silicon heterojunction solar cells,"Laser-induced forward transfer (LIFT) is a suitable technique for the metallization of SHJ solar cells, achieving comparable performance to screen-printing with potential for added flexibility and reduced silver consumption. LIFT produced lines 110 µm wide with a resistivity of 40 µΩ⋅cm and a specific contact resistivity of 3.45 mΩ⋅cm2.",Silicon Heterojunction (SHJ),Comparable to screen-printed cells,Slightly lower for LIFT due to wider fingers,Not reported,Comparable to screen-printed cells,Comparable to screen-printed cells,n-type c-Si wafers,Not reported,Full-area,ITO,Ag,Heterojunction,Heterojunction,Ag,Ag
Pandey,2022.0,10.1002/pssa.202200183,Effect of gas flow rate in PECVD of a-Si:H on c-Si interface passivation and SHJ solar cell performance,Optimized gas flow rate (50–70 sccm) for good surface passivation and 17% efficient SHJ cell,Silicon heterojunction (SHJ) solar cells,17,0.105 (calculated from 1.7x1.7 cm),36.5 (eye-balled),0.702 (eye-balled from iVoc),84 (eye-balled),n-type c-Si,Textured,Not specified,i-a-Si:H,i-a-Si:H,Heterojunction,Heterojunction,Al,Ag
Pandey,2025.0,10.1021/acsaem.4c02475,Influence of Very High-Frequency PECVD Hydrogen Plasma Treatment on Intrinsic Amorphous Silicon Passivation Stack: Impact on Silicon Heterojunction Solar Cell Performance,"Investigated the impact of post hydrogen plasma treatment (HPT) using VHF (40.68 MHz) and RF (13.56 MHz) generators on the PECVD-deposited i-a-Si:H bilayer stack. VHF-HPT improved the film microstructure and passivation, leading to an enhanced minority carrier lifetime (~2.7 ms) and a SHJ solar cell power conversion efficiency of 21.31% with a Voc of ~733 mV.",Silicon Heterojunction (SHJ),21.31,Not reported,Not reported,~0.733,Not reported,n-type c-Si,Not reported,Not reported,i-a-Si:H bilayer,i-a-Si:H bilayer (with HPT),Heterojunction,Heterojunction,Ag,Ag
Peibst,2016.0,10.1016/j.solmat.2016.05.045,"Investigation of the working principle of carrierN/Aselective polyN/ASi/cN/ASi junctions, proposing localized current flow through the interfacial oxide.","Evidence suggests that current transport in carrierN/Aselective polyN/ASi/cN/ASi junctions involves more than just homogeneous tunneling, possibly including localized flow through pinholes or regions with reduced oxide thickness. A model based on localized current flow and carrier crowding can explain the electrical behavior of both n+ and p+ polyN/ASi/cN/ASi junctions.",Polysilicon/cN/ASi Heterojunction,,,,,,cN/ASi;†polyN/ASi,,,SiOx,SiOx,Heterojunction,Heterojunction,,
Peng,2024.0,10.1016/j.solmat.2024.112952,Improving the performance of high-efficiency silicon heterojunction solar cells through low-temperature deposition of an i-a-Si:H anti-epitaxial buffer layer,"Improved the interface passivation effect in SHJ solar cells by replacing the rear single intrinsic hydrogenated amorphous silicon (i-a-Si:H) layer with a bi-layer stack deposited at low temperature. A lower substrate temperature (160 °C) for the first buffer layer resulted in higher hydrogen concentration, preventing epitaxial growth and improving passivation, leading to a certified PCE of 25.92%.",Silicon Heterojunction (SHJ),25.92 (certified),Not reported,Not reported,0.7497,Not reported,Full-area M6-size industry-grade silicon wafer,Textured,Textured,i-a-Si:H,i-a-Si:H (bi-layer),Heterojunction,Heterojunction,Ag,Ag
Peng,2015.0,10.1016/j.egypro.2015.06.106,Investigation on blistering behavior for nN/Atype silicon solar cells with Al2O3 ALD passivation.,"Thermal treatment in a specific gas environment before Al2O3 ALD passivation plays a key role in preventing blistering. An O2N/Arich environment promotes hydrogen diffusion into the oxide layer, reducing outN/Adiffusion to the SiNX ARC layer during firing and preventing blistering, thus leading to better passivation.",,,,,,,nN/Atype Cz silicon,Textured,,,Al2O3/SiNX,,,,
Pham,2022.0,https://doi.org/10.1016/j.cej.2022.137835,Quantum well passivation of TOPCon cells,Improved efficiency and Voc of TOPCon solar cell via dopant diffusion and reduced recombination.,Quantum well TOPCon solar cells,23.91,11.4,41.89,0.715,79.8,c-Si,Textured,Planar,AlOx/SiNx,SiOx/n+-poly-Si,Homojunction,Homojunction,Ag,Ag
Qinqin Wang,2023.0,https://doi.org/10.1016/j.solmat.2023.112458,,,,25.4,,42.2,0.721,83.5,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,Ag,Ag/Al
Qinqin Wang,2020.0,https://doi.org/10.1016/j.solmat.2020.110423,,,,22.43,,40,0.6894,81.35,Monocrystalline,Textured - With Coating(s),Planar - With Coating(s),,,,,Ag,Ag/Al
Qinqin Wang,2021.0,https://doi.org/10.1016/j.solener.2021.08.075,,,,23.7,,40.8,0.709,82,Monocrystalline,Textured - With Coating(s),Textured - With Coating(s),,,,,Ag,Ag/Al
